id,bus_stop_id,bus_id,enter_sum,exit_sum,bus_board_computer_sent_time,created_time,route_number,tickets_count
1944206287,1964,1122,0,3,2024-12-07T14:40:11.979,2024-12-07T14:45:34.599,50,0
1953223868,1474,1117,3,4,2024-12-09T07:51:33.237,2024-12-09T07:51:58.93,50,3
1946452737,2760,1130,6,4,2024-12-07T22:18:55.835,2024-12-07T22:45:32.297,50,
1954000983,1754,1130,3,3,2024-12-09T10:05:19.3,2024-12-09T10:06:15.472,50,4
1944182397,2238,1129,4,2,2024-12-07T14:38:05.422,2024-12-07T14:40:06.595,50,1
1948180676,2067,1129,0,0,2024-12-08T09:17:38.501,2024-12-08T09:29:05.706,50,1
1949012580,1964,1130,0,9,2024-12-08T12:44:47.917,2024-12-08T12:45:43.162,50,0
1948178248,2369,1122,4,3,2024-12-08T09:27:58.758,2024-12-08T09:28:31.857,50,2
1948178920,2359,1130,0,2,2024-12-08T09:27:53.902,2024-12-08T09:28:42.322,50,0
1942541118,2241,1122,3,9,2024-12-07T08:36:27.601,2024-12-07T08:44:41.769,50,2
1954015804,2239,1129,1,1,2024-12-09T10:05:39.488,2024-12-09T10:08:56.678,50,1
1945901385,1873,4901,8,0,2024-12-07T19:52:57.402,2024-12-07T19:55:44.246,12,12
1945062609,2119,1130,6,2,2024-12-07T17:21:52.747,2024-12-07T17:22:38.42,50,5
1949014606,2369,4901,0,0,2024-12-08T12:38:11.803,2024-12-08T12:46:15.392,50,2
1949924123,2365,1122,3,0,2024-12-08T16:06:32.878,2024-12-08T16:07:31.381,50,1
1951162251,1413,4901,0,0,2024-12-08T19:20:08.613,2024-12-08T19:30:09.094,46,0
1948178400,2360,1130,0,0,2024-12-08T09:25:28.715,2024-12-08T09:28:33.853,50,1
1948180965,2064,1129,0,0,2024-12-08T09:18:23.511,2024-12-08T09:29:08.904,50,3
1953232538,1955,1120,19,4,2024-12-09T07:52:41.972,2024-12-09T07:53:33.797,50,6
1954013254,2237,1122,3,2,2024-12-09T10:07:48.873,2024-12-09T10:08:26.563,50,3
1949928786,2229,1130,4,3,2024-12-08T16:04:06.127,2024-12-08T16:08:36.688,50,1
1949013509,2239,1122,2,2,2024-12-08T12:45:17.85,2024-12-08T12:46:01.218,50,1
1945908660,2087,1129,0,7,2024-12-07T19:57:00.699,2024-12-07T19:57:35.549,50,0
1945166319,1874,1130,0,1,2024-12-07T17:28:12.839,2024-12-07T17:31:59.059,50,0
1944189404,2239,1129,3,2,2024-12-07T14:38:56.408,2024-12-07T14:41:42.76,50,8
1953289029,2362,1130,0,6,2024-12-09T08:01:47.645,2024-12-09T08:03:40.274,50,0
1945067558,2238,1122,3,5,2024-12-07T17:23:14.098,2024-12-07T17:23:49.507,50,4
1949951134,1963,1130,1,1,2024-12-08T16:12:01.201,2024-12-08T16:14:08.339,50,1
1945074052,2069,1120,1,2,2024-12-07T17:24:04.25,2024-12-07T17:24:43.909,50,1
1942541678,2222,1120,9,2,2024-12-07T08:43:16.323,2024-12-07T08:44:49.692,50,9
1943335559,2369,1129,0,0,2024-12-07T11:11:39.098,2024-12-07T11:38:14.047,50,3
1943373880,2226,1129,0,0,2024-12-07T11:27:40.132,2024-12-07T11:44:03.434,50,1
1945173753,2330,1130,1,2,2024-12-07T17:31:12.838,2024-12-07T17:33:40.92,50,0
1945160240,1756,1122,5,2,2024-12-07T17:29:47.59,2024-12-07T17:30:32.639,50,3
1951173560,2239,1129,0,0,2024-12-08T19:31:22.471,2024-12-08T19:32:53.375,50,0
1946359100,2436,1122,2,6,2024-12-07T22:18:00.711,2024-12-07T22:18:37.605,50,
1943338470,1583,1130,2,6,2024-12-07T11:36:14.235,2024-12-07T11:38:58.366,50,4
1948179757,2274,4901,0,0,2024-12-08T09:23:20.892,2024-12-08T09:28:53.317,50,0
1949022455,2365,4901,0,0,2024-12-08T12:39:51.793,2024-12-08T12:48:16.968,50,1
1942561750,3355,1129,1,0,2024-12-07T08:46:03.375,2024-12-07T08:48:56.069,50,2
1954021388,2235,1120,1,1,2024-12-09T10:09:33.396,2024-12-09T10:09:57.284,50,0
1953236029,1477,1117,7,1,2024-12-09T07:52:53.554,2024-12-09T07:54:11.002,50,0
1951175020,2363,1122,7,3,2024-12-08T19:30:48.846,2024-12-08T19:33:14.848,50,5
1951209856,2386,4901,0,2,2024-12-08T19:25:58.577,2024-12-08T19:38:43.607,46,2
1949930446,2226,1130,1,3,2024-12-08T16:05:16.93,2024-12-08T16:09:01.503,50,2
1942551984,2240,1130,1,0,2024-12-07T08:42:23.188,2024-12-07T08:46:53.724,50,1
1953269614,1965,1129,1,6,2024-12-09T07:54:02.45,2024-12-09T08:00:13.306,50,2
1951305420,2357,4901,1,1,2024-12-08T19:43:33.58,2024-12-08T19:51:31.035,46,3
1943365083,2235,1130,3,1,2024-12-07T11:40:14.834,2024-12-07T11:41:49.442,50,5
1943337028,2928,1122,0,1,2024-12-07T11:36:51.714,2024-12-07T11:38:37.204,50,1
1945082888,2240,1122,2,7,2024-12-07T17:25:34.684,2024-12-07T17:26:51.426,50,1
1944194593,1956,1122,0,19,2024-12-07T14:38:03.597,2024-12-07T14:42:54,50,0
1945077363,2239,1122,3,3,2024-12-07T17:24:12.588,2024-12-07T17:25:30.697,50,2
1945167360,1754,1122,2,0,2024-12-07T17:31:32.588,2024-12-07T17:32:13.024,50,2
1945908434,2069,1122,3,2,2024-12-07T19:57:21.589,2024-12-07T19:57:31.953,50,3
1946024824,2435,1129,1,1,2024-12-07T20:09:04.311,2024-12-07T20:16:21.701,50,1
1948181694,1878,1129,0,0,2024-12-08T09:20:08.504,2024-12-08T09:29:19.082,50,1
1944198946,2436,1130,0,0,2024-12-07T14:34:40.174,2024-12-07T14:43:48.996,50,0
1945180424,2079,1129,2,0,2024-12-07T17:29:32.753,2024-12-07T17:35:14.285,50,6
1942554269,3354,1129,0,0,2024-12-07T08:45:07.693,2024-12-07T08:47:22.039,50,2
1953238118,2225,1130,2,6,2024-12-09T07:49:59.646,2024-12-09T07:54:34.252,50,1
